sep=,
Data Mastering,Country,Region,Block,Prospect,Field Name,Well Name,UBHI,Wellbore Name,Wellbore Common Name,Current Operator,Original Operator,Well Existence,Wellbore Situation,Start Date,Spud Date,Spud Year,Completion Date,Abandon Date,TD Date,Water Depth [m],Ground Elevation [m],Total Depth [m],TVDDF [m],TVDSS [m],Reference Point (for TD),DF Elevation [m],KB Elevation [m],RT Elevation [m],Original Vertical Measurement Unit,Phase,Preferred Name,Wellbore Classification,Current Status,Hydrocarbon Type,Trajectory Shape,Top Latitude,Top Longitude,QC Status,Resource Security Classification,App Readiness,Default Vertical Measurement ID,Definitive Trajectory ID
Master,Malaysia,SB,SAMARANG,,SAMARANG,SAMARANG-B122,1000022959,SAMARANG-B122,SAMARANG-B122,PETRONAS CARIGALI SDN. BHD.,PETRONAS CARIGALI SDN. BHD.,Actual,Offshore,,03-2-2020,2020,,,,47.55,,2676.14,2188.16,,DF,37.80,,37.80,foot,Develop,1000022959,[petronas-osdu:reference-data--FacilityStateType:Unknown:],"Drilled, oil producer",,Deviated,,,High,INTERNAL USE,false,MSL,SAMARANG-B122 - Trajectory
Master,Malaysia,SB,SAMARANG,,ERB WEST,ERB WEST-A121,1000002870,ERB WEST-A121,ERB WEST-A121,PETRONAS CARIGALI SDN. BHD.,SABAH SHELL PETROLEUM COMPANY LIMITED,Actual,Offshore,,27-11-1987,1987,26-12-1987,,18-12-1987,61.87,,2676.14,2191.82,2164.08,DF,27.74,,,foot,Develop,MYSERBW-A121,[petronas-osdu:reference-data--FacilityStateType:Unknown:],Completed,,Deviated,6.345539,115.657350,High,INTERNAL USE,true,MSL,ERB WEST-A121 - Trajectory - 274774694
Master,Malaysia,SK,BALINGIAN,,BAYAN,BAYAN-B221,1000013751,BAYAN-B221ST1,BAYAN-B221ST1,PETRONAS CARIGALI SDN. BHD.,PETRONAS CARIGALI SDN. BHD.,Actual,Offshore,03-3-2015,10-3-2015,2015,15-6-2015,,,29.26,,1855.62,,,DF,49.99,,,foot,Develop,,[petronas-osdu:reference-data--FacilityStateType:Unknown:],Plugged and sidetracked,,,3.443915,112.390979,High,INTERNAL USE,true,MSL,BAYAN-B221ST1 - Trajectory - 275356294
Master,Malaysia,SB,SAMARANG,,ERB WEST,ERB WEST-A113,1000002847,ERB WEST-A113,ERB WEST-A113,PETRONAS CARIGALI SDN. BHD.,SABAH SHELL PETROLEUM COMPANY LIMITED,Actual,Offshore,11-11-1988,05-12-1982,1982,09-2-1983,,,60.66,,2353.06,2085.14,2056.79,DF,28.35,,,foot,Develop,MYSERBW-A113,[petronas-osdu:reference-data--FacilityStateType:Unknown:],Completed,,Deviated,6.345565,115.657297,High,INTERNAL USE,true,MSL,ERB WEST-A113 - Trajectory - 274774550
Master,Malaysia,SK,MLNG,,F6,F6-A113,1000004818,F6-A113,F6-A113,SARAWAK SHELL BERHAD,SARAWAK SHELL BERHAD,Actual,Offshore,,11-12-1986,1986,15-5-1987,,,85.65,,1216.15,447.33,,DF,35.05,,,foot,Develop,MYSF6---A113,[petronas-osdu:reference-data--FacilityStateType:Appraisal:],Plugged and sidetracked,,,4.637679,112.304563,High,INTERNAL USE,true,MSL,F6-A113 - Trajectory - 272407037
Master,Malaysia,SK,SK407,,BOKOR,BOKOR-1(BAKONIA-1),1000004351,BOKOR-1(BAKONIA-1),BOKOR-1(BAKONIA-1),PETRONAS CARIGALI SDN. BHD.,SARAWAK SHELL BERHAD,Actual,Offshore,,01-10-1967,1967,29-7-1967,13-10-1967,,68.28,,2403.35,,,DF,33.83,,,foot,Explore,MYSBOKR00001,[petronas-osdu:reference-data--FacilityStateType:Appraisal:],"P&A, unknown",,,4.546739,113.593394,High,INTERNAL USE,true,MSL,BOKOR-1(BAKONIA-1) - Trajectory - 272380227
Master,Malaysia,SB,SB409,,GAVA,GAVA-1,1000002935,GAVA-1,GAVA-1,PETRONAS,ENRON OIL MALAYSIA INC.,Actual,Offshore,,17-8-1991,1991,15-9-1991,21-9-1991,15-9-1991,34.14,,1625.50,1624.89,1597.46,KB,,28.04,,foot,Explore,MYSGAVA00001,[petronas-osdu:reference-data--FacilityStateType:Wildcat:],"P&A, unknown",,,5.723861,115.445075,High,INTERNAL USE,true,MSL,GAVA-1 - Trajectory - 274775102
Master,Malaysia,SB,SAMARANG,,ERB WEST,ERB WEST-A111R1,1000002838,ERB WEST-A111R1S1,ERB WEST-A111R1S1,PETRONAS CARIGALI SDN. BHD.,SABAH SHELL PETROLEUM COMPANY LIMITED,Actual,Offshore,,10-6-1988,1988,,,22-6-1988,60.66,,3072.38,,,DF,27.74,,,foot,Develop,MYSERBW-A111R01,[petronas-osdu:reference-data--FacilityStateType:Unknown:],"P&A, unknown",,Deviated,6.345507,115.657292,High,INTERNAL USE,true,MSL,ERB WEST-A111R1S1 - Trajectory - 274774496
Master,Malaysia,SB,SAMARANG,,SAMARANG,SAMARANG-E48,1000003485,SAMARANG-E48S1,SAMARANG-E48S1,PETRONAS CARIGALI SDN. BHD.,SABAH SHELL PETROLEUM COMPANY LIMITED,Actual,Offshore,,10-4-1987,1987,,,18-4-1987,9.75,,2289.05,1905.91,1812.01,DF,28.65,,,foot,Develop,MYSSMRG-E048S01,[petronas-osdu:reference-data--FacilityStateType:Appraisal:],"Suspended, unknown",,Deviated,5.619341,114.900193,High,INTERNAL USE,true,MSL,SAMARANG-E48S1 - Trajectory - 327301939
Master,Malaysia,SK,BALINGIAN,,TEMANA,TEMANA-1,1000005600,TEMANA-1,TEMANA-1,PETRONAS CARIGALI SDN. BHD.,SARAWAK SHELL BERHAD,Actual,Offshore,,24-6-1962,1962,,02-9-1962,,28.65,,3051.96,,,DF,20.42,,,foot,Explore,MYSTMNA00001,[petronas-osdu:reference-data--FacilityStateType:Wildcat:],"P&A, unknown",,,3.247568,112.806198,High,INTERNAL USE,true,MSL,
